ID,actividad_ID,descripcion,duracion,estado_ID,observaciones,createdAt,createdBy,modifiedAt,modifiedBy
c80123c6-f44e-40a3-a5f2-4702c4c679f8,52ce04eb-7cfe-4115-88d1-58760775d758,Alcance definitorio generó gaps no previstos,2025-02-05,65bab436-7ede-4843-9746-44d77de4fcbd,Requiere ajustar historias de usuario,2025-01-22T11:15:00Z,ana.lopez,2025-01-22T12:00:00Z,ana.lopez
4f7d3389-a808-4539-9ce3-007ef66edd27,94ee11c5-de8f-4c62-b451-f1ca1cdb39fc,Eficiente colaboración del equipo de requisitos,2025-01-30,580fda5f-f15a-41b6-bd7b-c64609256ec9,Buen uso de tableros Scrum,2025-01-23T09:40:00Z,maria.zapata,2025-01-23T10:30:00Z,maria.zapata
d4c7fab2-4c55-4807-b0b5-efe57bd17e2d,cae78414-12be-4096-b232-acda68f09870,Plazo de entrega del ambiente no negociable,2025-02-01,2af67c04-d888-419a-a595-cc8876dcf959,Ajustar cronograma dependiente,2025-01-26T14:00:00Z,maria.zapata,2025-01-26T15:10:00Z,maria.zapata
1660d903-7f52-4020-a3b1-5fc3ff609b86,7ee2b154-c08b-4654-9088-43da67934d44,Transformación de datos generó cuellos de botella,2025-02-18,65bab436-7ede-4843-9746-44d77de4fcbd,Añadir recursos al equipo ETL,2025-02-06T08:35:00Z,carlos.ortiz,2025-02-06T09:05:00Z,carlos.ortiz
e3fa3392-cc6a-425a-89a6-88c2bc86ba14,64a44df9-9abf-4a98-a4bb-28cc67088651,Prototipo UX recibió comentarios positivos,2025-02-22,580fda5f-f15a-41b6-bd7b-c64609256ec9,Prototipo aprobado sin cambios,2025-02-10T16:20:00Z,luisa.mendez,2025-02-10T17:00:00Z,luisa.mendez
31d6b2a0-6645-4448-96cd-86d710853891,54504bcd-24be-4925-82e8-53fa2bed27f3,Fallas recurrentes durante pruebas integradas,2025-02-26,65bab436-7ede-4843-9746-44d77de4fcbd,Revisar estrategia de pruebas,2025-02-20T11:50:00Z,ana.lopez,2025-02-20T12:40:00Z,ana.lopez
c0875397-c2c7-4106-a85c-b8c3cd15b51d,f01cfbfe-8164-400f-9db2-6981b1f87a8d,Sesiones de capacitación superaron expectativas,2025-03-05,580fda5f-f15a-41b6-bd7b-c64609256ec9,Usuarios con alta disponibilidad,2025-03-04T10:10:00Z,juan.suarez,2025-03-04T10:50:00Z,juan.suarez
b771a219-4ea5-4572-b687-77ec099c29da,c34ec62a-e168-4859-bd9e-9f50a084bf96,Secuencia de cut-over validada por el cliente,2025-04-30,2af67c04-d888-419a-a595-cc8876dcf959,Alto riesgo si se cambia,2025-04-29T21:30:00Z,carlos.ortiz,2025-04-30T08:00:00Z,carlos.ortiz
03492c96-ccf6-4086-a459-77f799f9d7fc,52ce04eb-7cfe-4115-88d1-58760775d758,Soporte inicial requirió horas extra,2025-05-10,65bab436-7ede-4843-9746-44d77de4fcbd,Considerar soporte extendido,2025-05-04T09:45:00Z,maria.zapata,2025-05-04T10:15:00Z,maria.zapata
a8aef00b-53b6-43fb-af63-4e9cefdb75ff,94ee11c5-de8f-4c62-b451-f1ca1cdb39fc,Cierre administrativo sin incidencias,2025-06-11,580fda5f-f15a-41b6-bd7b-c64609256ec9,Archivo completo en repositorio,2025-06-07T13:00:00Z,juan.suarez,2025-06-07T13:45:00Z,juan.suarez
