ID,proyecto_ID,entregadoPor_ID,recibidoPor_ID,fecha,criterios,createdAt,createdBy,modifiedAt,modifiedBy
a3da7af7-3c76-4f4e-88c0-8bdec106af9a,18302ef1-7e02-45cc-9831-f4f825b82c59,26e207aa-68c8-43f4-afcc-73d4c3a384a2,1ebef355-5085-4fb7-b460-f3116f8f51d8,2023-01-15,Documentación completa entregada,2023-01-15T09:00:00Z,ana.gomez,2023-01-16T10:00:00Z,ana.gomez
064f23d8-c1c1-436b-8b87-b86aa4728cc8,a5e6497e-1b19-40b7-b6f6-31be04e54855,dc2b8e65-9d4f-4f8f-a1d0-4594573fd63d,6425fa00-7e0b-4b89-95ad-64a7b9ee77ca,2023-03-12,Transferencia de conocimiento validada,2023-03-12T11:30:00Z,julian.moreno,2023-03-13T12:00:00Z,julian.moreno
9287364f-2fe2-4ce7-9ac3-cfecef6484e8,b974798b-e5a8-440d-a978-f7f7a571c835,677cae53-b0ac-41c8-803f-4acaf2e40dec,8fbb74d2-68d8-4386-8a07-d695b35dc168,2023-05-08,Checklist técnico y funcional aprobado,2023-05-08T08:00:00Z,sara.perez,2023-05-09T09:30:00Z,sara.perez
fa9177a0-bb5d-400a-923d-c46230703fed,83662249-eb9a-4ec5-a749-41c60d06a1e7,314ed9ed-58e2-4650-826d-a32352e57b0b,6b9cab21-40bc-44ab-9937-a78a7a97d974,2023-07-20,Acta de cierre firmada,2023-07-20T10:00:00Z,camilo.rios,2023-07-21T11:00:00Z,camilo.rios
473c6e33-f5d4-4fed-a4ab-61cabf347390,c129d55e-8960-4581-a5a6-f8fabe903eaf,87eb36be-e710-467b-ac7a-d44806f2cd0e,11df55ff-082c-46ee-831b-768407134309,2023-09-01,Checklist de soporte completado,2023-09-01T13:00:00Z,laura.martinez,2023-09-01T15:00:00Z,laura.martinez
d7c2e726-39b0-4b37-9a3d-10bd7d5da615,bfeb1102-b16a-403d-9587-835f8507bb9c,079991c6-aef1-49b8-8565-f5721bc86929,f2d13217-da15-4f0f-9304-a740d6e264bf,2023-10-10,Documentos de pruebas y validación,2023-10-10T10:30:00Z,felipe.mendez,2023-10-11T09:45:00Z,felipe.mendez
be975860-762b-486e-a862-6bd6aa03a869,d0c913d5-1458-42e3-897a-49d94339d56b,92d65b9c-4b9f-499e-8364-a91052f2d450,958f9b41-665e-4c79-9f61-5e6065e0229d,2024-01-05,Transferencia a operación ejecutada,2024-01-05T14:00:00Z,carolina.lopez,2024-01-06T14:30:00Z,carolina.lopez
ef8f70fd-e658-4442-a3aa-fac68494b993,f29b515c-bdf6-42b9-803c-e7cc4859dc91,6b3cdbee-1444-49ad-a4c8-3c29a12e9847,d2b2423f-13ef-4de4-a6c9-36c683b04185,2024-02-28,Cierre técnico y operativo aprobado,2024-02-28T09:10:00Z,juan.vera,2024-02-29T10:00:00Z,juan.vera
35341160-59ba-4a38-a56d-814b42ddd431,3b44e4ca-8901-46c9-bd86-dad4a50bc41e,83e5bf99-e082-4d1c-aa37-625d695dd24c,e3ad3f4a-e913-4b1a-89c5-0b50466a3558,2024-04-14,Acta firmada con todos los criterios,2024-04-14T10:15:00Z,daniela.rojas,2024-04-15T11:00:00Z,daniela.rojas
84e20def-084e-4bd9-b462-fde55095d0d6,675891f2-fe17-48d3-947f-be469c9be20c,025cf75e-c0e0-488d-9595-b32cb92ea1d7,c577c252-8c39-4b65-beb1-35cd361325e0,2024-06-01,Entrega validada por equipo SAP,2024-06-01T08:45:00Z,mateo.sandoval,2024-06-02T09:30:00Z,mateo.sandoval
